"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","ECR error","Gate length (ns)","MEASURE error","Operational"
"77","231.5014765298316","87.22198981094502","4.827490220775925","-0.3097125098855301","0.017333984375","0.024169921875","0.010498046875","1600","0.00028142135153989573","60","0","0.00028142135153989573","0.00028142135153989573","76:0.0063172216821494875;71:0.012180402745983754","76:660;71:660","0.017333984375","Yes"
"78","184.26977683589078","96.03860800144437","4.792216753966219","-0.30890316850677096","0.0203857421875","0.0166015625","0.024169921875","1600","0.0002651252045697139","60","0","0.0002651252045697139","0.0002651252045697139","77:0.005594516947642153","77:660","0.0203857421875","Yes"
"79","163.84488805887","39.275736221597214","4.869803104829439","-0.3085467634046332","0.0439453125","0.0263671875","0.0615234375","1600","0.0013284686097718586","60","0","0.0013284686097718586","0.0013284686097718586","78:0.008724899701982647;91:0.02316406922481337","78:660;91:660","0.0439453125","Yes"
"80","190.790484072651","100.26766377742186","4.831271858978952","-0.3083070407011","0.0355224609375","0.03564453125","0.035400390625","1600","0.00046032331078242085","60","0","0.00046032331078242085","0.00046032331078242085","79:0.00875899224607296","79:660","0.0355224609375","Yes"
"81","230.58317583712528","207.7507209644655","4.697752681094946","-0.31086659359752655","0.03955078125","0.050537109375","0.028564453125","1600","0.00018891427592916413","60","0","0.00018891427592916413","0.00018891427592916413","80:0.007458138456082064","80:660","0.03955078125","Yes"
"82","260.81301557094343","51.48206230113365","4.951976222510667","-0.3068207625988667","0.107177734375","0.0693359375","0.14501953125","1600","0.0007491353686775046","60","0","0.0007491353686775046","0.0007491353686775046","81:0.006932980162022762;83:0.005979184289612055","81:660;83:660","0.107177734375","Yes"
"83","198.3449127629145","137.1300429582245","5.014536085739091","-0.3069501779452577","0.0272216796875","0.019775390625","0.03466796875","1600","0.0002490893438439344","60","0","0.0002490893438439344","0.0002490893438439344","","","0.0272216796875","Yes"
"84","267.07299673509567","64.11437239505264","4.905828065677804","-0.3067980449106979","0.0213623046875","0.01513671875","0.027587890625","1600","0.00037221392344658437","60","0","0.00037221392344658437","0.00037221392344658437","83:0.00529637832255872;85:0.007537520617418192","83:660;85:660","0.0213623046875","Yes"
"85","205.4123631719884","199.74143150917766","4.859559607478737","-0.30863044712933246","0.01171875","0.0078125","0.015625","1600","0.00023479903055752117","60","0","0.00023479903055752117","0.00023479903055752117","","","0.01171875","Yes"
"86","239.02116229112264","172.94026046540063","4.701234464785827","-0.31071005242081995","0.0185546875","0.0234375","0.013671875","1600","0.00022995503092468147","60","0","0.00022995503092468147","0.00022995503092468147","85:0.006042037632514069;87:0.010042409734091345","85:660;87:660","0.0185546875","Yes"
