"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","ECR error","Gate length (ns)","MEASURE error","Operational"
"88","144.99222442329292","115.72149008462854","4.834666691215898","-0.3093682896600593","0.0157470703125","0.015625","0.015869140625","1500","0.00033478099882605113","60","0","0.00033478099882605113","0.00033478099882605113","87:0.00548228030952605;89:0.01925472705025469","87:660;89:660","0.0157470703125","Yes"
"89","215.8468102574032","17.795143527027605","4.756855801109441","-0.2933671127408654","0.0313720703125","0.025634765625","0.037109375","1500","0.001326288068916506","60","0","0.001326288068916506","0.001326288068916506","","","0.0313720703125","Yes"
"90","90.78393361537718","29.6302804037781","4.64290215418177","-0.3124305227976497","0.1011962890625","0.103759765625","0.0986328125","1500","0.00033591893412602186","60","0","0.00033591893412602186","0.00033591893412602186","75:0.0087952762010029","75:660","0.1011962890625","Yes"
"91","248.59145222356528","85.934504779597","4.681379167659566","-0.3122188850304044","0.1358642578125","0.128662109375","0.14306640625","1500","0.00023801450299967453","60","0","0.00023801450299967453","0.00023801450299967453","98:0.00859934986919303","98:660","0.1358642578125","Yes"
"92","6.212658743725843","4.45878908827465","4.981407516739685","-0.3068508672278072","0.0633544921875","0.093994140625","0.03271484375","1500","0.005228438596748056","60","0","0.005228438596748056","0.005228438596748056","102:0.04817188418431789","102:660","0.0633544921875","Yes"
"93","46.009877025546096","109.58007863634091","5.067093844570088","-0.3054233025897763","0.4136962890625","0.697998046875","0.12939453125","1500","","60","0","","","","106:660;87:660","0.4136962890625","Yes"
"94","212.71135894459997","204.68047581043407","4.871646131400801","-0.30131215800183925","0.01318359375","0.012451171875","0.013916015625","1500","0.0001782812536360034","60","0","0.0001782812536360034","0.0001782812536360034","95:0.005701449196483355;90:0.006764845932982461","95:660;90:660","0.01318359375","Yes"
"95","377.6480224854758","105.45270666203359","4.770704027558763","-0.30983777296413206","0.017333984375","0.01953125","0.01513671875","1500","0.00025841528405374966","60","0","0.00025841528405374966","0.00025841528405374966","","","0.017333984375","Yes"
"96","173.13461853990628","101.18432593035266","4.909148169728423","-0.3808425613799568","0.0572509765625","0.044677734375","0.06982421875","1500","0.0001988486898012101","60","0","0.0001988486898012101","0.0001988486898012101","95:0.007725871436284698;109:0.006530039790707376","95:660;97:660;109:660","0.0572509765625","Yes"
"97","155.7906081881533","0.45529176376125685","4.604340455093575","-0.29001332757886134","0.4991455078125","0.67041015625","0.327880859375","1500","","60","0","","","","98:660","0.4991455078125","Yes"
"98","236.30489466585587","206.96960502761536","4.873485776466916","-0.30884565871617875","0.0228271484375","0.021728515625","0.02392578125","1500","0.0001610963790305165","60","0","0.0001610963790305165","0.0001610963790305165","","","0.0228271484375","Yes"
"99","225.76826938207512","146.0259492656273","4.8334788961749515","-0.30841544163879403","0.0738525390625","0.071533203125","0.076171875","1500","0.0005612379289073455","60","0","0.0005612379289073455","0.0005612379289073455","100:0.026327414162538643;98:0.024521710049622086","100:660;98:660","0.0738525390625","Yes"
"100","385.72937519939563","290.05553805341845","4.618131454490587","-0.31301996211206395","0.0406494140625","0.054443359375","0.02685546875","1500","0.00021473665821688208","60","0","0.00021473665821688208","0.00021473665821688208","","","0.0406494140625","Yes"
"101","266.99769599169235","237.4970924119233","4.836949912712215","-0.30909185797628885","0.0174560546875","0.011962890625","0.02294921875","1500","0.0004626792128581908","60","0","0.0004626792128581908","0.0004626792128581908","100:0.01855722988845529;102:0.019295833638852622","100:660;102:660","0.0174560546875","Yes"
"102","250.6210005716105","11.933290153374854","4.928621681798116","-0.3109169816834961","0.0286865234375","0.017333984375","0.0400390625","1500","0.00037682473198614514","60","0","0.00037682473198614514","0.00037682473198614514","","","0.0286865234375","Yes"
