"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"45","97.82178981424678","134.41102240345396","0.0419921875","0.053955078125","0.030029296875","1560","0.0002444337662931895","24","0.0002444337662931895","0","0.0002444337662931895","0.0002444337662931895","44:68;46:68;37:68","44:0.0024591067047805837;46:0.002810226419311057;37:0.002154480300614603","44:0.0020410415419381545;46:0.002933674722673446;37:0.0021995589237294166","0.0419921875","Yes"
"46","162.8766548712508","10.535121813702503","0.0111083984375","0.016357421875","0.005859375","1560","0.00046129886291103","24","0.00046129886291103","0","0.00046129886291103","0.00046129886291103","45:68;47:68","45:0.002810226419311057;47:0.002552612193527287","45:0.002933674722673446;47:0.0028134605355418785","0.0111083984375","Yes"
"47","119.40961237040109","45.3099172420757","0.02685546875","0.029541015625","0.024169921875","1560","0.0002826984906183645","24","0.0002826984906183645","0","0.0002826984906183645","0.0002826984906183645","48:68;57:68;46:68","48:0.0024742662096299273;57:0.012588233707610114;46:0.002552612193527287","48:0.0019136256864542567;57:0.009836228423274335;46:0.0028134605355418785","0.02685546875","Yes"
"48","121.7521243368508","41.94978567922243","0.009765625","0.01220703125","0.00732421875","1560","0.00032431175316078036","24","0.00032431175316078036","0","0.00032431175316078036","0.00032431175316078036","47:68;49:68","47:0.0024742662096299273;49:0.0039608755329177125","47:0.0019136256864542567;49:0.0055289706001653005","0.009765625","Yes"
"49","182.1630973650807","37.089783709237736","0.039306640625","0.040771484375","0.037841796875","1560","0.0004297454997399952","24","0.0004297454997399952","0","0.0004297454997399952","0.0004297454997399952","48:68;50:68;38:68","48:0.0039608755329177125;50:0.003177816021059987;38:0.0053470550776152925","48:0.0055289706001653005;50:0.003097555247549344;38:0.004584394338024239","0.039306640625","Yes"
"50","123.25208744309664","119.77487819171618","0.009033203125","0.009765625","0.00830078125","1560","0.00026883151135927483","24","0.00026883151135927483","0","0.00026883151135927483","0.00026883151135927483","49:68;51:68","49:0.003177816021059987;51:0.002270515931263012","49:0.003097555247549344;51:0.0023609281641953916","0.009033203125","Yes"
"51","92.97463069439232","88.9778735196936","0.0855712890625","0.093017578125","0.078125","1560","0.0002716355284090661","24","0.0002716355284090661","0","0.0002716355284090661","0.0002716355284090661","50:68;52:68;58:68","50:0.002270515931263012;52:0.002445389036448503;58:0.004153073307920779","50:0.0023609281641953916;52:0.0034725201287154617;58:0.0031344206162962907","0.0855712890625","Yes"
"52","101.18834412160805","84.8254761650218","0.0108642578125","0.015869140625","0.005859375","1560","0.00029997861379644624","24","0.00029997861379644624","0","0.00029997861379644624","0.00029997861379644624","51:68;53:68","51:0.002445389036448503;53:0.0038058160215417858","51:0.0034725201287154617;53:0.0026582792434878266","0.0108642578125","Yes"
"53","119.55882407000485","13.949962222195847","0.046875","0.050537109375","0.043212890625","1560","0.0002418479011615005","24","0.0002418479011615005","0","0.0002418479011615005","0.0002418479011615005","39:68;52:68;54:68","39:0.006452107562041509;52:0.0038058160215417858;54:0.004526509771181159","39:0.004395008564956976;52:0.0026582792434878266;54:0.0033826715240586336","0.046875","Yes"
"54","102.55613892878446","162.3359424364028","0.0047607421875","0.005859375","0.003662109375","1560","0.0007539284488541853","24","0.0007539284488541853","0","0.0007539284488541853","0.0007539284488541853","53:68;55:68","53:0.004526509771181159;55:0.0024435230077798353","53:0.0033826715240586336;55:0.00476773474810771","0.0047607421875","Yes"
